id,name,description
596,"Elaps corallinus, Adrenalinum, Arsenicum iodatum , Aur. met., Baryta carb., Bryonia, Cactus, Chelidonium majus, Cinchona, Crotalus horridus, Digitalis, Glonoinum, Kali carb., Kali iod ., Lachesis , Naja , Nux vom., Veratrum alb., Vipera berus, Viscum, Ruta, Valeriana","Salter-Harris Type IV physeal fracture of lower end of humerus, unspecified arm, subsequent encounter for fracture with delayed healing"
597,SULFUR,"Person on outside of heavy transport vehicle injured in collision with car, pick-up truck or van in traffic accident, sequela"
598,diphenhydramine hydrochloride,"Exposure to sudden change in air pressure in aircraft during ascent, initial encounter"
599,"POTASSIUM NITRATE, SODIUM MONOFLUOROPHOSPHATE","Unspecified complication of anesthesia during pregnancy, third trimester"
600,Ziprasidone HCl,"Age-related osteoporosis with current pathological fracture, left hand"
601,ALCOHOL,"Torus fracture of lower end of left fibula, sequela"
602,Omeprazole,"Displaced fracture of middle third of navicular [scaphoid] bone of left wrist, subsequent encounter for fracture with routine healing"
603,Helium Oxygen Mixture,"Adverse effect of butyrophenone and thiothixene neuroleptics, subsequent encounter"
604,salicylic acid,"Nondisplaced fracture of lateral condyle of left tibia, subsequent encounter for open fracture type I or II with nonunion"
605,LEVOFLOXACIN,"Striking against or struck by other automobile airbag, initial encounter"
606,Acetaminophen,Pedestrian on skateboard injured in collision with other nonmotor vehicle in traffic accident
607,OATMEAL,"Corrosion of first degree of right ear [any part, except ear drum], sequela"
608,Lidocaine Hydrochloride,"Underdosing of other nonopioid analgesics and antipyretics, not elsewhere classified, initial encounter"
609,HEPARIN SODIUM,"Anaphylactic reaction due to other serum, initial encounter"
610,FINASTERIDE,"Other subluxation of unspecified wrist and hand, sequela"
611,"Camphor,Eucalyptus Oil, Menthol",Postthrombotic syndrome
612,Aspirin,"Unspecified fracture of unspecified patella, subsequent encounter for closed fracture with nonunion"
613,cyclobenzaprine hydrochloride,"Other specified spondylopathies, site unspecified"
614,Titanium Dioxide,"Injury of right internal carotid artery, intracranial portion, not elsewhere classified with loss of consciousness of any duration with death due to brain injury prior to regaining consciousness, subsequent encounter"
615,"OCTOCRYLENE, HOMOSALATE, BUTYL METHOXYDIBENZOYLMETHANE/AVOBENZONE",Chronic obstructive pulmonary disease with acute lower respiratory infection
616,Olanzapine,Unspecified displaced fracture of sixth cervical vertebra
617,"Dextroamphetamine saccharate, Amphetamine aspartate, Dextroamphetamine sulfate, and Amphetamine sulfate","Laceration of intercostal blood vessels, right side"
618,Menthol,"Unspecified fracture of unspecified forearm, subsequent encounter for closed fracture with delayed healing"
619,"Avobenzone, Octinoxate, Octisalate, Octocrylene, Oxybenzone","Injury of peripheral nerves of neck, subsequent encounter"
620,Topical Skin Relief,"Military operations involving rubber bullets, civilian"
621,Sesame,"Other fractures of lower end of right radius, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with nonunion"
622,TRICLOSAN,"Muscle wasting and atrophy, not elsewhere classified, forearm"
623,DOCUSATE SODIUM,"Neuroma of amputation stump, left upper extremity"
624,Mulberry,Finger-joint replacement of left hand
625,ALCOHOL,"Pigmentary glaucoma, bilateral, severe stage"
626,"AVOBENZONE,OCTINOXATE,OXYBENZONE,PADIMATE","Laceration of blood vessel of unspecified thumb, subsequent encounter"
627,"DEXTROMETHORPHAN HYDROBROMIDE, GUAIFENESIN, PHENYLEPHRINE HYDROCHLORIDE","Poisoning by heroin, assault"
628,Black Walnut,"Other specified injury of unspecified blood vessel at lower leg level, unspecified leg"
629,Nifedipine,"Torus fracture of upper end of unspecified tibia, subsequent encounter for fracture with delayed healing"
630,Acetaminophen,"Palindromic rheumatism, shoulder"
631,Methocarbamol,"Car passenger injured in collision with pedal cycle in traffic accident, sequela"
632,Methocarbamol,"Nondisplaced oblique fracture of shaft of right femur, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with routine healing"
633,American Elm,"Struck by bat, racquet or club"
634,Ciprofloxacin,Unspecified intracranial injury with loss of consciousness greater than 24 hours with return to pre-existing conscious level
635,DIETHYLPROPION HYDROCHLORIDE,"Fetus-to-fetus placental transfusion syndrome, unspecified trimester"
636,Phenylephrine HCl,"Hallux varus (acquired), unspecified foot"
637,Salicylic Acid,Postthrombotic syndrome
638,bromfenac,Salter-Harris Type II physeal fracture of upper end of fibula
639,Senna Leaves,"Dislocation of T9/T10 thoracic vertebra, initial encounter"
640,Zolpidem Tartrate,Occlusion and stenosis of unspecified middle cerebral artery
641,Clonidine,Laceration without foreign body of vagina and vulva
642,Omeprazole,Laceration with foreign body of right middle finger with damage to nail
643,FERROUS IODIDE,"Crushing injury of unspecified hip, subsequent encounter"
644,methazolamide,"Unspecified fracture of unspecified foot, subsequent encounter for fracture with routine healing"
645,Oxymorphone hydrochloride,"Other specified injury of posterior tibial artery, unspecified leg, subsequent encounter"
646,MAGNESIUM CATION,Other cervical disc degeneration
647,morphine sulfate,Drowning and submersion due to being thrown overboard by motion of watercraft
648,GLYCERIN,"Adverse effect of pertussis vaccine, including combinations with a pertussis component, initial encounter"
649,"Baptisia tinctoria, Echinacea, Hydrastis canadensis","Crushing injury of face, initial encounter"
650,Eszopiclone,Animal-rider or occupant of animal-drawn vehicle injured in transport accident
651,Olanzapine and Fluoxetine,Pain in left finger(s)
652,"Octinoxate, Octocrylene, and Zinc oxide","Superficial foreign body, unspecified hip, initial encounter"
653,Isopropyl Alcohol,"Fracture of unspecified phalanx of left index finger, subsequent encounter for fracture with malunion"
654,NORTRIPTYLINE HYDROCHLORIDE,"Burn of first degree of trunk, unspecified site, initial encounter"
655,Protriptyline hydrochloride,"Counseling related to combined concerns regarding sexual attitude, behavior and orientation"
656,Polyethylene Glycol 3350,"Other central nervous system complications of anesthesia during pregnancy, unspecified trimester"
657,Enalapril Maleate and Hydrochlorothiazide,"External constriction of scrotum and testes, initial encounter"
658,Cetirizine Hydrochloride,Dislocation of metacarpophalangeal joint of other finger
659,Capsicum oleoresin,Embolism and thrombosis of superficial veins of left lower extremities
660,Sotalol Hydrochloride,Clicking hip
661,TITANIUM DIOXIDE ZINC OXIDE,Other localized connective tissue disorders
662,Moisture Barrier Ointment,"Poisoning by stimulant laxatives, assault, subsequent encounter"
663,Topiramate,"Stable burst fracture of first thoracic vertebra, initial encounter for open fracture"
664,"Aralia Quinquefolia, Avena Sativa, Capsicum Annuum, Ginkgo Biloba, Glycyrrhiza Glabra, Hydrocotyle Asiatica",Barton's fracture of right radius
665,SERTRALINE HYDROCHLORIDE,"Laceration with foreign body of left great toe with damage to nail, initial encounter"
666,ISOSORBIDE DINITRATE,"Injury of cutaneous sensory nerve at hip and thigh level, unspecified leg"
667,ALUMINUM ZIRCONIUM OCTACHLOROHYDREX GLY,"Puncture wound without foreign body of abdominal wall, left upper quadrant with penetration into peritoneal cavity, subsequent encounter"
668,Carvedilol,"Military operations involving chemical weapons and other forms of unconventional warfare, civilian, subsequent encounter"
669,Phenoxybenzamine Hydrochloride,"Open bite of unspecified external genital organs, female, subsequent encounter"
670,"Homosalate, Octocrylene, Ethylhexyl Methoxycinnamate, Ethylhexyl Salicilate, Titanium Dioxide","Term delivery with preterm labor, third trimester, not applicable or unspecified"
671,Hydrochlorothiazide,"Displaced fracture of coronoid process of right ulna, subsequent encounter for open fracture type I or II with routine healing"
672,Petrolatum,"Intraoperative and postprocedural complications and disorders of ear and mastoid process, not elsewhere classified"
673,Hydrogen Peroxide,"Major laceration of greater saphenous vein at hip and thigh level, unspecified leg"
674,metronidazole,"Infections of cervix in pregnancy, first trimester"
675,Ibuprofen,"Toxic effect of beryllium and its compounds, undetermined, sequela"
676,Salicylic Acid,"Underdosing of antitussives, initial encounter"
677,Buspirone Hydrochloride,"Laceration of muscle, fascia and tendon of the posterior muscle group at thigh level, left thigh, initial encounter"
678,Menthol,"Unspecified injury of unspecified muscles, fascia and tendons at forearm level, right arm, sequela"
679,Doxycycline Hyclate,"Open bite of abdominal wall, left upper quadrant with penetration into peritoneal cavity"
680,"Acetaminophen, Dextromethorphan HBr, Guaifenesin, Phenylephrine HCl","Benign neoplasm of meninges, unspecified"
681,"Wild oat,","Food in respiratory tract, part unspecified causing asphyxiation, sequela"
682,amitriptyline hydrochloride,"Toxic effect of unspecified corrosive substance, intentional self-harm, sequela"
683,Candida albicans,"Toxic effect of cadmium and its compounds, intentional self-harm"
684,acetaminophen,"Juvenile rheumatoid arthritis with systemic onset, left wrist"
685,LYTTA VESICATORIA,"Medial subluxation of left ulnohumeral joint, subsequent encounter"
686,Botrytis cinerea,"Preterm labor third trimester with preterm delivery third trimester, not applicable or unspecified"
687,glycerin and propylene glycol,"Open bite, left hip, initial encounter"
688,Codfish,Other specified interstitial pulmonary diseases
689,Cefuroxime Axetil,Pedestrian on foot injured in collision with other nonmotor vehicle in nontraffic accident
690,Aspergillus repens,"Echinococcosis, unspecified, of liver"
691,CHLOROTHIAZIDE SODIUM,Congenital malformation of clitoris
692,Tolnaftate,"Unspecified physeal fracture of lower end of humerus, unspecified arm, initial encounter for closed fracture"
693,pioglitazone,"Unspecified fracture of upper end of right radius, subsequent encounter for closed fracture with routine healing"
694,Amlodipine besylate and Atorvastatin calcium,Unspecified protozoal disease
695,"Natrum Muriaticum, Ranunculus Bulbosus","Displaced transverse fracture of shaft of humerus, unspecified arm, subsequent encounter for fracture with malunion"
696,SALICLYLIC ACID,"Displaced transverse fracture of right patella, initial encounter for closed fracture"
697,Pullularia pullulans,Biliary acute pancreatitis
698,Moisture Barrier Ointment,"Alcohol use, unspecified with intoxication delirium"
699,Celery,Drowning and submersion due to fishing boat overturning
700,benzonatate,"Chronic serous otitis media, left ear"
701,Ciprofloxacin,"Puncture wound without foreign body, unspecified hip"
702,Somatropin,"Fall while being carried or supported by other persons, sequela"
703,Oxymetazoline hydrochloride,"Burn of first degree of multiple sites of right shoulder and upper limb, except wrist and hand"
704,Clonazepam,"Spondylolysis, occipito-atlanto-axial region"
705,fluticasone propionate,Major laceration of carotid artery
706,EUPATORIUM PERFOLIATUM,"Nondisplaced fracture of neck of unspecified talus, sequela"
707,CLADOSPORIUM SPHAEROSPERMUM,"Displaced longitudinal fracture of left patella, subsequent encounter for open fracture type I or II with routine healing"
708,"dimethicone, camphor, menthol, phenol","Exposure to sofa fire due to unspecified burning material, initial encounter"
709,Carisoprodol,Dislocation of distal end of left ulna
710,"Avobenzone, Octinoxate, Oxybenzone",Corrosion of third degree of neck
711,"Fucus vesiculosus, Spongia tosta, Pituitaria glandula, Thyroidinum, Arsenicum iodatum,",Other cardiovascular syphilis
712,Aluminum zirconium tetrachlorohydrex gly,"Puncture wound with foreign body of left forearm, subsequent encounter"
713,Fluvoxamine Maleate,"Lead-induced chronic gout, right ankle and foot, with tophus (tophi)"
714,"CALENDULA OFFICINALIS FLOWERING TOP, Causticum, Phytolacca Americana Root, and Thuja occidentalis leafy twig","Peripheral tear of lateral meniscus, current injury, left knee, subsequent encounter"
715,tapentadol hydrochloride,"Other displaced fracture of upper end of left humerus, subsequent encounter for fracture with routine healing"
716,Metoprolol Tartrate,"Pupillary membranes, left eye"
717,TRICLOSAN,Disorders of esophagus in diseases classified elsewhere
718,Polymyxin B,"Coloboma of optic disc, right eye"
719,Sodium Fluoride,"Displaced spiral fracture of shaft of left fibula, subsequent encounter for closed fracture with malunion"
720,Avobenzone and Octocrylene and Oxybenzone,"Other injury of intrinsic muscle, fascia and tendon of right index finger at wrist and hand level, subsequent encounter"
721,DIMETHICONE,Laceration without foreign body of unspecified shoulder
722,Doxycycline Hyclate,"Other specified disorders of amniotic fluid and membranes, third trimester, fetus 2"
723,Octreotide Acetate,Unspecified dislocation of left patella
724,somatropin,Subluxation of unspecified lumbar vertebra
725,SOLANUM DULCAMARA TOP - ACTIVATED CHARCOAL - CHELONE GLABRA - GOLDENSEAL,"Nondisplaced avulsion fracture of tuberosity of left calcaneus, subsequent encounter for fracture with nonunion"
726,bupropion hydrochloride,"Fall while being carried or supported by other persons, subsequent encounter"
727,estradiol/norethindrone acetate,"Other secondary chronic gout, vertebrae"
728,OCTINOXATE and TITANIUM DIOXIDE,"Paralytic calcification and ossification of muscle, left thigh"
729,urea,"Corrosion of second degree of left hand, unspecified site, subsequent encounter"
730,Fludeoxyglucose F18,Phlebitis and thrombophlebitis of popliteal vein
731,Zinc Oxide,"War operations involving other destruction of aircraft, military personnel"
732,NITROGLYCERIN,"Infection specific to the perinatal period, unspecified"
733,Doxycycline hyclate,"Infection of amniotic sac and membranes, unspecified, first trimester"
734,Polyethylene Glycol 3350,"Glasgow coma scale score 13-15, at hospital admission"
735,Raloxifene hydrochloride,Laceration with foreign body of penis
736,ETHYL ALCOHOL,"Other specified injury of muscle, fascia and tendon of unspecified hip, subsequent encounter"
737,Ibuprofen,"Aggressive periodontitis, localized"
738,"AVOBENZONE, OCTOCRYLENE, OXYBENZONE","Unspecified otosclerosis, unspecified ear"
739,Sardine,"Poisoning by unspecified agents primarily affecting the gastrointestinal system, assault"
740,Phenytoin Sodium,Abnormal glucose complicating pregnancy
741,"Neomycin Sulfate, Polymyxin B Sulfate, and Pramoxine Hydrochloride","Other fracture of unspecified lesser toe(s), initial encounter for open fracture"
742,BENZALKONIUM CHLORIDE,"Unspecified fracture of shaft of unspecified femur, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with nonunion"
743,Ezetimibe,"Follicular lymphoma grade I, lymph nodes of axilla and upper limb"
744,enoxaparin sodium,"Unspecified fracture of lower end of left tibia, subsequent encounter for open fracture type I or II with nonunion"
745,Antihemophilic Factor Human,Traumatic rupture of other ligament of wrist
746,Naproxen Sodium,Benign carcinoid tumor of the duodenum
747,"AVOBENZONE, HOMOSALATE, OCTISALATE, OCTOCRYLENE, OXYBENZONE",Other specified diabetes mellitus with oral complications
748,Duck Feathers,"Displacement of artificial heart, sequela"
749,Meclizine HCl,Unspecified sprain of unspecified lesser toe(s)
750,Cetirizine HCl,Unspecified superficial injury of unspecified foot
751,Stemphylium botryosum,"Adhesions and ankylosis of temporomandibular joint, unspecified side"
752,"Avobenzone, Octinoxate, Octisalate","Poisoning by antimalarials and drugs acting on other blood protozoa, assault, sequela"
753,"Acetaminophen, Diphenhydramine Hydrochloride, and Phenylephrine Hydrochloride","Glaucomatous optic atrophy, unspecified eye"
754,ALUMINUM ZIRCONIUM TETRACHLOROHYDREX GLY,"Injury of trochlear nerve, left side"
755,olanzapine,"Hepatic failure, unspecified without coma"
756,Titanium Dioxide,"Motorcycle passenger injured in collision with railway train or railway vehicle in nontraffic accident, sequela"
757,Triclosan,"Corrosion of first degree of unspecified shoulder, sequela"
758,Perindopril Erbumine,"Contact with other hot household appliances, sequela"
759,"Acetaminophen, Diphenhydramine HCl","Displaced fracture of medial phalanx of unspecified finger, subsequent encounter for fracture with delayed healing"
760,CheryLee MD Sensitive Skin Care TrueLipids Double Action Boo-Boo Bum,"Osteitis condensans, unspecified upper arm"
761,pomalidomide,"Legal intervention involving other specified means, suspect injured, subsequent encounter"
762,Benzoyl Peroxide,Insect bite (nonvenomous) of anus
763,Nicotine Polacrilex,Atherosclerosis of autologous vein bypass graft(s) of the left leg with ulceration of calf
764,ALCOHOL,"Cyst of iris, ciliary body and anterior chamber"
765,Oxaliplatin,"Displaced fracture of third metatarsal bone, unspecified foot, subsequent encounter for fracture with delayed healing"
766,Oxygen,Subinvolution of uterus
767,montelukast sodium,"Burn of first degree of right upper arm, initial encounter"
768,Ranitidine Hydrochloride,"Other specified injury of intrinsic muscle, fascia and tendon of unspecified thumb at wrist and hand level, subsequent encounter"
769,Diphenhydramine HCl,"Nondisplaced fracture of anterior wall of left acetabulum, subsequent encounter for fracture with delayed healing"
770,"Octinoxate, Oxybenzone, Titanium dioxide",Sprain of metacarpophalangeal joint of unspecified finger
771,Citalopram Hydrobromide,"Nondisplaced transcondylar fracture of left humerus, initial encounter for closed fracture"
772,stannous fluoride,"Strain of other extensor muscle, fascia and tendon at forearm level, right arm, initial encounter"
773,GLYCERIN,"Displaced oblique fracture of shaft of right ulna, initial encounter for closed fracture"
774,Broccoli,"Strain of muscle, fascia and tendon of other parts of biceps, left arm"
775,Titanium Dioxide,"Open bite, left hip, sequela"
776,Alnus rhombifolia,Tinea imbricata
777,Epsom Salt,"Quadriplegia, C1-C4 incomplete"
778,Menthol,"Nondisplaced intertrochanteric fracture of right femur, subsequent encounter for closed fracture with routine healing"
779,adenosine,Corrosion of third degree of unspecified lower leg
780,"Titanium Dioxide, Octinoxate, Octisalate, Octocrylene",Pure motor lacunar syndrome
781,Triclosan,"Unspecified fracture of head of right femur, sequela"
782,ranitidine hydrochloride,"Stress fracture, right radius, sequela"
783,Acetaminophen 500mg Phenylephrine HCl 5mg,Maternal care for disproportion due to hydrocephalic fetus
784,Clonidine,Other subluxation of unspecified ulnohumeral joint
785,BENZALKONIUM CHLORIDE,"Chronic embolism and thrombosis of tibial vein, bilateral"
786,sodium ferric gluconate complex,"Crushing injury of unspecified foot, subsequent encounter"
787,Ketotifen Fumarate,"Myositis ossificans progressiva, unspecified forearm"
788,Tamsulosin Hydrochloride,"Other placental disorders, third trimester"
789,DOCUSATE SODIUM and BENZOCAINE,"Assault by other firearm discharge, subsequent encounter"
790,Ranitidine,Asymptomatic neurosyphilis
791,Triclosan,Subluxation and dislocation of proximal interphalangeal joint of thumb
792,Sodium Bicarbonate,"Superficial frostbite of unspecified hip and thigh, sequela"
793,"Naproxen sodium, Pseudoephedrine HCl","Person boarding or alighting a heavy transport vehicle injured in collision with car, pick-up truck or van, sequela"
794,Etodolac,"Contusion of duodenum, initial encounter"
795,ONDANSETRON HYDROCHLORIDE,"Other superficial bite of left front wall of thorax, initial encounter"
796,"Kali Muriaticum, Kali Phosphoricum, Plantago Major, Cactus Grandiflorus, Digitalis Purpurea, Heart, L-Carnitine","Anterior cord syndrome at C5 level of cervical spinal cord, sequela"
797,Polyethylene Glycol 3350,"Displaced spiral fracture of shaft of radius, right arm, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with malunion"
798,TRICLOSAN,"Laceration of other muscle(s) and tendon(s) at lower leg level, right leg"
799,"Cinnamic Acid, Phloridzinum, Alpha Ketoglutaricum Acidum, Ascorbicum Acidum, Kidney, Malic Acid, Nicotinamidum","Hypermetropia, left eye"
800,DIMETHICONE,Diffuse interstitial keratitis
801,"Vitamin A, Ascorbic Acid, Vitamin D, .Alpha.-Tocopherol, Thiamine Mononitrate, Riboflavin, Niacin, Pyridoxine Hydrochloride, Folic Acid, Cyanocobalamin, Biotin, Pantothenic Acid, Magnesium, Zinc, Selenium, Copper, Chromium, Molybdenum, and Iron","Displaced fracture of posterior column [ilioischial] of left acetabulum, subsequent encounter for fracture with delayed healing"
802,AVOBENZONE,Other congenital malformations of breast
803,Warfarin Sodium,"Breakdown (mechanical) of internal fixation device of bone of right forearm, sequela"
804,"acetaminophen,dextromethorphan HBr, doxylamine succinate",Other acquired deformities of right foot
805,glipizide and metformin hydrochloride,"Burn of first degree of left elbow, subsequent encounter"
806,Midodrine Hydrochloride,"Displaced fracture of medial condyle of right tibia, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with routine healing"
807,Miconazole nitrate,"Crushing injury of unspecified lower leg, sequela"
808,Tacrolimus,"Burn of second degree of left toe(s) (nail), subsequent encounter"
809,"avobenzone, octinoxate","Unspecified fracture of right acetabulum, sequela"
810,"OCTINOXATE, TITANIUM DIOXIDE","Displaced comminuted fracture of shaft of ulna, right arm, initial encounter for open fracture type IIIA, IIIB, or IIIC"
811,MAGNESIUM SULFATE,"Burn of third degree of multiple right fingers (nail), including thumb, sequela"
812,Triclosan,Traumatic rupture of palmar ligament of left middle finger at metacarpophalangeal and interphalangeal joint
813,"Acetaminophen, Dextromethorphan HBr, Doxylamine succinate","Nondisplaced fracture of body of scapula, left shoulder, initial encounter for closed fracture"
814,Dexamethasone,"Displaced comminuted fracture of right patella, subsequent encounter for open fracture type I or II with routine healing"
815,dimethicone,Overfeeding of newborn
816,Guaifenesin,"Displaced fracture of left ulna styloid process, subsequent encounter for closed fracture with malunion"
817,risperidone,"Dislocation of metacarpophalangeal joint of right little finger, subsequent encounter"
818,"Norepinephrine, Octopamine, Insulin, Hydrocortisone, Ascorbicum acidum, Glandula suprarenalis suis, Heart (suis)","Occupant of animal-drawn vehicle injured in transport accident with military vehicle, subsequent encounter"
819,"Butalbital, Aspirin and Caffeine","Fall from burning building or structure in uncontrolled fire, initial encounter"
820,Bisoprolol fumarate,"Foreign body in stomach, subsequent encounter"
821,Carbamazepine,"Toxic effect of fiberglass, assault, initial encounter"
822,PHELLINUS LINTEUS MYCELIUM,"Obstruction due to foreign body accidentally left in body following kidney dialysis, sequela"
823,Sweet Gum,Physeal fracture of upper end of femur
824,"Octinoxate, Titanium Dioxide","Other specified joint disorders, shoulder"
825,WITCH HAZEL,"Laceration without foreign body, unspecified thigh, sequela"
826,Octinoxate and Zinc Oxide,"Toxic effect of tetrachloroethylene, assault, subsequent encounter"
827,Meperidine Hydrochloride,"Displaced supracondylar fracture with intracondylar extension of lower end of left femur, initial encounter for open fracture type I or II"
828,Natural Medicine,"Persistent migraine aura without cerebral infarction, not intractable, with status migrainosus"
829,Minoxidil,"Car passenger injured in collision with other nonmotor vehicle in traffic accident, sequela"
830,Zolmitriptan,"Perforated corneal ulcer, left eye"
831,Minoxidil,"Periprosthetic osteolysis of internal prosthetic right hip joint, sequela"
832,Ketotifen Fumarate,"Stable burst fracture of fourth thoracic vertebra, subsequent encounter for fracture with delayed healing"
833,Fentanyl,"Unspecified occupant of bus injured in noncollision transport accident in traffic accident, initial encounter"
834,Cetirizine Hydrochloride,"Gout due to renal impairment, left elbow"
835,"Octinoxate, TITANIUM DIOXIDE, and ZINC OXIDE","Localization-related (focal) (partial) symptomatic epilepsy and epileptic syndromes with complex partial seizures, intractable, with status epilepticus"
836,Topiramate,Displacement of artificial heart
837,Hydrocortisone Valerate,Abrasion of left shoulder
838,lisinopril,"Merkel cell carcinoma of left eyelid, including canthus"
839,Ibuprofen,"Other injury of extensor muscle, fascia and tendon of right index finger at forearm level, initial encounter"
840,Aluminum Chlorohydrate,"Asphyxiation due to being trapped in other low oxygen environment, initial encounter"
841,Sennosides,Chronic embolism and thrombosis of left iliac vein
842,axitinib,Laceration of right Achilles tendon
843,Levofloxacin,"Nondisplaced fracture of base of other metacarpal bone, subsequent encounter for fracture with nonunion"
844,ziconotide,"Puncture wound of abdominal wall without foreign body, periumbilic region without penetration into peritoneal cavity, sequela"
845,modafinil,"Laceration of flexor muscle, fascia and tendon of left thumb at forearm level, sequela"
846,Salicylic Acid,"Conjoined twin pregnancy, second trimester"
847,SILICON DIOXIDE,Enophthalmos
848,risedronate sodium,"Strain of muscle, fascia and tendon of the posterior muscle group at thigh level, left thigh"
849,Haloperidol,Corrosion of second degree back of unspecified hand
850,Acetaminophen,Sprain of deltoid ligament of right ankle
851,California Mugwort,"Unspecified injury of fallopian tube, unspecified, initial encounter"
852,PRAVASTATIN SODIUM,"Hypertrophy of bone, left fibula"
853,Meloxicam,Aphonia
854,methylprednisolone,"Congenital vertical talus deformity, left foot"
855,Gabapentin,"Other post-traumatic urethral stricture, female"
856,alprazolam,Pedal cycle passenger injured in collision with other and unspecified motor vehicles in nontraffic accident
857,Nitrogen,"Person on outside of heavy transport vehicle injured in collision with railway train or railway vehicle in nontraffic accident, sequela"
858,Terbinafine Hydrochloride,"Laceration without foreign body of right lesser toe(s) without damage to nail, initial encounter"
859,"Acetaminophen, Diphenhydramine HCl","Other specified sprain of right wrist, initial encounter"
860,tramadol hydrochloride,Benign neoplasm of pineal gland
861,Galantamine Hydrobromide,"Toxic effect of thallium, intentional self-harm"
862,Triclosan,"Nondisplaced fracture of cuboid bone of right foot, initial encounter for closed fracture"
863,Aspirin,"Displaced segmental fracture of shaft of unspecified fibula, sequela"
864,nebivolol hydrochloride,"Pathological fracture, left foot, subsequent encounter for fracture with delayed healing"
865,fentanyl citrate,"Other disorders of optic disc, bilateral"
866,amitriptyline hydrochloride,"Toxic effect of smoke, accidental (unintentional), subsequent encounter"
867,"TITANIUM DIOXIDE, ZINC OXIDE","Unspecified injury of other extensor muscle, fascia and tendon at forearm level, unspecified arm, sequela"
868,Phenylephrine HCl,"Displaced fracture of proximal phalanx of left index finger, subsequent encounter for fracture with routine healing"
869,Nicotine Polacrilex,"Nondisplaced subtrochanteric fracture of left femur, initial encounter for open fracture type I or II"
870,Escitalopram,"Unspecified fracture of shaft of right radius, subsequent encounter for open fracture type I or II with nonunion"
871,DIMETHICONE,Chronic embolism and thrombosis of superficial veins of left upper extremity
872,"Echinacea, Hydrastis Canadensis","Keratomalacia, right eye"
873,Calcium Acetate,Laceration without foreign body of finger without damage to nail
874,Doxorubicin Hydrochloride,"Open bite of right lesser toe(s) without damage to nail, initial encounter"
875,Kali bichromicum,"Pedal cycle driver injured in collision with railway train or railway vehicle in traffic accident, sequela"
876,Hydorcortisone and Acetic Acid,"Toxic effect of carbon monoxide from utility gas, intentional self-harm, initial encounter"
877,Mometasone Furoate,"Adverse effect of beta-adrenoreceptor antagonists, initial encounter"
878,"Anthracinum, Antimonium crudum, Apis mellifica, Carbo animalis, Hamamelis virginiana, Hepar suis, Hydrocotyle asiatica, Kali bromatum, Mercurius corrosivus, Natrum sulphuratum, Pyrogenium, Radium bromatum, Sanguinaria canadensis, Sulphur iodatum, Thuja occidentalis, Urtica urens",Unspecified abnormal finding in cerebrospinal fluid
879,Gemcitabine hydrochloride,Car driver injured in noncollision transport accident in nontraffic accident
880,aluminum hydroxide and magnesium carbonate,Underdosing of antiviral drugs
881,Quetiapine fumarate,"Hypermetropia, right eye"
882,California Valley White Oak,"Contact with other sharp object(s), not elsewhere classified, initial encounter"
883,PODOPHYLLUM PELTATUM,"Nondisplaced Zone III fracture of sacrum, subsequent encounter for fracture with delayed healing"
884,Clorazepate Dipotassium,"Fracture of angle of left mandible, subsequent encounter for fracture with routine healing"
885,Amitriptyline Hydrochloride,"Person boarding or alighting a three-wheeled motor vehicle injured in collision with fixed or stationary object, initial encounter"
886,OCTINOXATE,Avulsion and traumatic amputation of part of head
887,Polyethylene Glycol 3350,"Underdosing of other drug primarily affecting the autonomic nervous system, subsequent encounter"
888,Theophylline Anhydrous and Dextrose,"Other superficial bite of left back wall of thorax, sequela"
889,benzethonium chloride,"Dislocation of distal interphalangeal joint of right index finger, subsequent encounter"
890,Ash White,"Driver of three-wheeled motor vehicle injured in collision with other nonmotor vehicle in nontraffic accident, subsequent encounter"
891,Nicotine,Cutaneous nocardiosis
892,Yellow Onion,"Placentitis, second trimester, other fetus"
893,Promethazine Hydrochloride,Other parasomnia
894,trihexyphenidyl hydrochloride,Nondisplaced fracture of lower epiphysis (separation) of unspecified femur
895,"Aconitum nap., Ambra, Anacardium orientale, Arg.nit., Asafoetida, Bryonia, Chamomilla, Cimicifuga, Coffea cruda, Cypripedium, Gelsemium, Hyoscyamus, Hypericum, Ignatia, Kali phos., Nux vom., Sambucus nig., Strychninum, Theridion, Valeriana, Passiflora","Displaced oblique fracture of shaft of left ulna, initial encounter for closed fracture"
896,Bacitracin Zinc and Polymyxin B Sulfate,"Salter-Harris Type I physeal fracture of lower end of humerus, right arm, subsequent encounter for fracture with nonunion"
897,salicylic acid,Laceration with foreign body of other specified part of neck
898,Misoprostol,"Commercial fixed-wing aircraft crash injuring occupant, sequela"
899,Nicotine Polacrilex,"Sprain of unspecified parts of unspecified shoulder girdle, sequela"
900,budesonide,"Other fracture of lower end of unspecified ulna, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with delayed healing"
901,Olanzapine,"Toxic effect of contact with Portugese Man-o-war, accidental (unintentional), subsequent encounter"
902,Benzocaine,Other extraarticular fracture of calcaneus
903,"OCTINOXATE, OXYBENZONE","Rheumatoid bursitis, knee"
